a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
enlarge	[ɪnˈlɑ:dʒ, ɪnˈlɑ:rdʒ] vt.&vi. 扩大，放大 
enlighten	[ɛnˈlaɪtn, ɪnˈlaɪtn] vt. 启发，启蒙 
enormous	[ɪˈnɔ:məs, ɪˈnɔ:rməs] adj. 巨大的 
enough	[ɪˈnʌf] adv. 足够地，充足地 adj. 足够的 n. 充分，足够 int. 够了 
enrich	[ɛnˈrɪtʃ, ɪnˈrɪtʃ] vt. 使富裕，使富有 
ensure	[ɪn'ʃʊə(r), ɛnˈʃʊr] vt. 确保 
enter	[ˈɛntɚ, ˈentə(r)] vt.&vi. 进入 
enterprise	[ˈentəpraɪz, ˈentərpraɪz] n. 企（事）业单位 
entertainment	[ˌentərˈteɪnmənt, ˌentəˈteɪnmənt] n. 娱乐节目 
enthusiasm	[ɪnˈθju:ziæzəm, ɪnˈθu:ziæzəm] n. 热情，热忱 
enthusiastic	[ɪnˌθju:ziˈæstɪk, ɪnˌθu:ziˈæstɪk] adj. 热情的 
entire	[ɪnˈtaɪə(r), ɛnˈtaɪr] adj. 整个的 
entrance	[ˈentrəns] n. 进入;入口，进口 vt. 使出神，使入迷;使喜悦，使狂喜 
entry	[ˈentri, ˈɛntri] n. 进入，入场 
envelope	[ˈenvəloʊp, ˈenvələʊp] n. 信封，封皮 
environment	[ɛnˈvaɪrənmənt, -ˈvaɪən-, ɪnˈvaɪrənmənt] n. 环境，外界 
envy	[ˈenvi, ˈɛnvi] n. 羡慕;嫉妒，妒忌 vi. 感到妒忌;显示出妒忌 
equal	[ˈikwəl, ˈi:kwəl] adj. 相等的，平等的 vt. 等于 n. 同样的人 vi. 相等，相平（与out连用） 
equator	[ɪˈkwetɚ, ɪˈkweɪtə(r)] n. 赤道 
equipment	[ɪˈkwɪpmənt] n. 设备，装备 
equivalent	[ɪˈkwɪvələnt] adj. 相等的，相当的，等效的;等价的，等积的 n. 对等物;[化学]当量 
era	[ˈɪərə, ˈɪrə] n. 纪元，年代 
erase	[ɪˈreɪz, ɪˈreɪs] vt. 抹去 
erect	[ɪˈrɛkt, ɪˈrekt] vt. 使直立，使竖起;建立，创立 adj. 直立的，垂直的;（头、手等）朝上举的 
error	[ˈerə(r), ˈɛrɚ] n. 错误，过失 
erupt	[ɪˈrʌpt] vi. 爆发;喷发 vt. 爆发 
escape	[ɪˈskeɪp, ɪˈskep] v. 逃脱 n. 逃走 adj. 使逃避困难的 
especially	[ɪˈspeʃəli, ɛˈspɛʃəli, ɪˈspɛʃ-] adv. 尤其地 
essay	[ˈɛsˌe, ɛˈse, ˈeseɪ] n. 散文;随笔，杂记文 vt. 尝试;试验 
essential	[ɪˈsenʃl, ɪˈsɛnʃəl] adj. 必要的;本质的 n. 必需品;基本要素 
establish	[ɪˈstæblɪʃ] vt. 建立，创建 
estate	[ɪˈsteɪt, ɪˈstet] n. 财产，遗产，房地产;个人财产 adj. （汽车）连箱的（拥有较长的车身和后门，后座后面有较大的空间） 
estimate	[ˈestɪmət, ˈɛstəˌmet] n. 估计，预测;报价，预算书 vt. 估计，估算;评价，评论 
eternal	[ɪˈtɜ:rnl, ɪˈtɜ:nl] adj. 永生的;不朽的 n. 永恒的事物;Eternal 上帝，与定冠词the 连用 
Europe	[ˈjʊrəp, ˈjʊərəp] n. 欧洲 
European	[ˌjʊərəˈpi:ən, ˌjʊrəˈpi:ən] adj. 欧盟的;欧洲的，欧洲人的 n. 欧洲人 
Eve	[i:v, iv] n. 夏娃（基督教<圣经>故事人物） 
even	[ˈivən, ˈi:vn] adv. 甚至 adj. 公平的 vt. 使平坦 vi. 变平 
evening	[ˈi:vnɪŋ, ˈivnɪŋ] n. 傍晚 adj. 在晚上的 int. 晚上好 
event	[ɪˈvent, ɪˈvɛnt] n. 事件，大事 
eventually	[ɪˈventʃuəli, ɪˈvɛntʃuəli] adv. 终究 
ever	[ˈevə(r), ˈɛvɚ] adv. 永远 
every	[ˈevri, ˈɛvri] det. 每 
everybody	[ˈevribɒdi, ˈevribɑ:di] pron. 各位 
everyday	[ˈevrideɪ, ˈɛvriˈde] adj. 每天的 
everyone	[ˈevriwʌn, ˈɛvriˌwʌn] pron. 每人，人人 
everything	[ˈevriθɪŋ, ˈɛvriˌθɪŋ] pron. 每件事物 
everywhere	[ˈevriweə(r), ˈevriwer] adv. 到处，处处，无论什么地方 
evidence	[ˈɛvɪdəns, ˈevɪdəns] n. 证据;迹象 vt. 表明;使明显 
evident	[ˈevɪdənt, ˈɛvɪdənt] adj. 明显的，明白的 
evil	[ˈi:vl, ˈivəl] adj. 邪恶的，罪恶的;有害的 n. 灾祸;邪恶，罪恶 
exact	[ɪɡˈzækt, ɪgˈzækt] adj. 准确的;严密的 vt. 要求;苛求 
exactly	[ɪɡˈzæktli, ɪgˈzæktli] adv. 恰恰 
exam	[ɪgˈzæm, ɪɡˈzæm] n. 测验 
examine	[ɪɡˈzæmɪn, ɪgˈzæmɪn] vt. 检查，调查;考试 vi. 检查;调查 
example	[ɪgˈzɑ:mpl, ɪgˈzæmpl] n. 例子 vt. 作为…的例子 vi. 举例 
exceedingly	[ɪkˈsi:dɪŋli, ɪkˈsidɪŋli] adv. 非常，极其，特别，十分 
excellent	[ˈeksələnt, ˈɛksələnt] adj. 优秀的 
except	[ɪkˈsept, ɪkˈsɛpt] vt. 把…除外 prep. 除…外 conj. 除非 vi. 反对，表示异议（与 to 或 against连用） 
exchange	[ɪksˈtʃendʒ, ɪksˈtʃeɪndʒ] n. 交换 vt. 兑换 vi. 交换，替换 
excite	[ɪkˈsaɪt] vt. 激发 
exciting	[ɪkˈsaɪtɪŋ] adj. 使人兴奋的，令人激动的 v. 刺激（excite的现在分词） 
exclusive	[ɪkˈsklu:sɪv, ɪkˈsklusɪv] adj. 专用的;高级的 n. 独家新闻;专有物 
excuse	[ɪkˈskju:s, ɪkˈskjuz] vt. 原谅 n. 辩解 vi. 作为借口 
executive	[ɪgˈzekjətɪv, ɪɡˈzɛkjətɪv] n. 总经理;行政部门 adj. 执行的;管理的 
exercise	[ˈeksəsaɪz, ˈeksərsaɪz] n. 练习 vi. 锻炼，训练，练习 vt. 锻炼（身体某部位） 
exhaust	[ɪgˈzɔ:st, ɪɡˈzɔst] vt. 排出 vi. 排气 n. 排出 
exhibit	[ɪgˈzɪbɪt, ɪɡˈzɪbɪt, ɛɡ-] vt. 呈现 vi. 展出 n. 展览，陈列 
exhibition	[ˌɛksəˈbɪʃən, ˌeksɪˈbɪʃn] n. 陈列，展览 
exist	[ɪgˈzɪst, ɪɡˈzɪst] vi. 存在 
existence	[ɪɡˈzɪstəns, ɪgˈzɪstəns] n. 存在，实在 
exit	[ˈɛɡzɪt, ˈɛksɪt, ˈeksɪt] n. 退场;出口，通道 vi. 退出;退场 
expand	[ɪkˈspænd] vt. 扩张;使…变大 vi. 扩展;展开 
expansion	[ɪkˈspænʃən, ɪkˈspænʃn] n. 扩张 
expect	[ɪkˈspekt, ɪkˈspɛkt] vt. 期望;预料 vi. 期待;预期 
expectation	[ˌɛkspɛkˈteʃən, ˌekspekˈteɪʃn] n. 预期 
expedition	[ˌekspəˈdɪʃn, ˌɛkspɪˈdɪʃən] n. 考察，远航 
expense	[ɪkˈspens, ɪkˈspɛns] n. 费用;花费的钱 vt. 向…收取费用;把…作为开支勾销 
expensive	[ɪkˈspensɪv, ɪkˈspɛnsɪv] adj. 昂贵的，花钱多的 
experience	[ɪkˈspɪriəns, ɪkˈspɪəriəns] n. 经验，体验;经历，阅历 vt. 感受;亲身参与，亲身经历 
experiment	[ɪkˈspɛrəmənt, ɪkˈsperɪmənt] n. 尝试;实验，试验 vi. 尝试;做实验，进行试验 
expert	[ˈekspɜ:t, ˈekspɜ:rt] n. 专家，能手 adj. 专家的 vt. 以专家身份研究（或检查），像专家那样研究（或检查） vi. 做专家工作，担任专家，成为高手（或能手） 
explain	[ɪkˈspleɪn, ɪkˈsplen] vt.&vi. 讲解，解释 vt. 说明…的原因，辩解 vi. 说明，解释，辩解 
explanation	[ˌekspləˈneɪʃn, ˌɛkspləˈneʃən] n. 解释 
explode	[ɪkˈsploʊd, ɪkˈspləʊd] vi. 爆[突]发，发怒;激增，迅速扩大 vt. （使）爆炸;突然（发出巨响，活跃起来，迸发感情） 
exploit	[ɪkˈsplɔɪt] vt. 开拓;剥削 n. 功绩;功劳 
explosion	[ɪkˈsploʊʒn, ɪkˈspləʊʒn] n. 爆发 
explosive	[ɪkˈsploʊsɪv, ɪkˈspləʊsɪv] adj. 爆炸的;易爆炸的 n. 爆炸物，炸药;[语言学] 爆破音 
export	[ˈekspɔ:rt, ˈekspɔ:t] vt.&vi. 出口，输出 vt. 传播，输出（思想或活动） 
expose	[ɪk'spəʊz, ɪkˈspoʊz] vt. 揭露，揭发 
express	[ɪkˈspres, ɪkˈsprɛs] v. 表达 adj. 特快的 n. 特快列车 adv. 使用快速服务 
expression	[ɪkˈsprɛʃən, ɪkˈspreʃn] n. 表现，表示，表达 
extend	[ɪkˈstɛnd, ɪkˈstend] vt.&vi. 延伸 vt. 延长 vi. 延伸 
extensive	[ɪkˈstensɪv, ɪkˈstɛnsɪv] adj. 广阔的，广大的 
extent	[ɪkˈstɛnt, ɪkˈstent] n. 程度 
extra	[ˈekstrə, 'ekstrə] adj. 额外的，补充的，附加的 n. 附加物，额外的事物 adv. 额外地 
extraordinary	[ɪkˈstrɔ:rdəneri, ɪkˈstrɔ:dnri] adj. 非凡的 
extreme	[ɪkˈstrim, ɪkˈstri:m] adj. 极端的，过激的;极限的，非常的 n. 极端;困境 
extremely	[ɪk'strimlɪ, ɪkˈstri:mli] adv. 极端地 
eye	[aɪ] n. 眼睛;视力 vt. 定睛地看;注视 
fable	[ˈfebəl, ˈfeɪbl] n. 传说;寓言，童话 v. 讲故事，编寓言;虚构，杜撰 
face	[feɪs, fes] n. 脸 vt.&vi. 面对 vt. （感到不能）对付 
facility	[fəˈsɪləti] n. 设备 
fact	[fækt] n. 实际 
factor	[ˈfæktə(r), ˈfæktɚ] n. 因素 vt. 把…因素包括进去 vi. 做代理商（或管家） 
factory	[ˈfæktri, ˈfæktəri] n. 工厂，制造厂 
fade	[fed, feɪd] vi. 褪去，失去光泽 vt. 使褪色 adj. 乏味的，平淡的 
fail	[fel, feɪl] vt.&vi. 失败，不及格 vi. 破产 vt. 不及格 n. 失败，失误 
failure	[ˈfeɪljə(r), 'feɪljər] n. 失败，不及格 
faint	[feɪnt, fent] adj. 微弱的，模糊的 vi. 头晕，昏过去 n. 昏厥，昏倒 
fair	[feə(r), fer] adj. 公平的 adv. 公平地 n. 集市，庙会 vt. （卡通制作）顺利接合 vi. 转晴 
fairly	[ˈfeəli, ˈferli] adv. 公平地 
faith	[feθ, feɪθ] n. 忠诚;信用，信任 int. 实在，确实 
faithful	[ˈfeθfəl, ˈfeɪθfl] adj. 忠实的;忠诚的 n. 信徒 
fall	[fɔ:l, fɔl] v. 落下;跌倒 n. 落下;瀑布 
false	[fɔ:ls] adj. 虚伪的;不正的，非法的 adv. 欺诈地;叛卖地 
fame	[feɪm, fem] n. 名声;名望 vt. 使闻名;使出名 
familiar	[fəˈmɪljɚ, fəˈmɪliə(r)] adj. 熟悉的;通晓的 n. 常客，密友;高级官吏的家属 
family	[ˈfæmli, ˈfæməli] n. 家庭;家族 adj. 家庭的;一家所有的 
famous	[ˈfeɪməs, ˈfeməs] adj. 著名的，出名的 
fan	[fæn] n. 扇子，风扇 vt. 扇动 vi. 成扇形 
fancy	[ˈfænsi] vt. 想像 n. 设想 adj. （构思者）奇特的 vi. 想象，幻想 
far	[fɑ:(r), fɑr] adv. 久远地 adj. 远的 n. 远方 
fare	[feə(r), fer] n. 票价;费 vi. 吃;进食 
farewell	[ˌfeəˈwel, ˌferˈwel] n. 告别，欢送 int. 再见，再会 adj. 告别的，送行的 
farm	[fɑ:m, fɑ:rm] n. 农家 vt. 养殖 vi. 经营农场 
farmer	[ˈfɑ:mə(r), ˈfɑ:rmə(r)] n. 农场主，农民 
farther	[ˈfɑ:rðə(r), ˈfɑ:ðə(r)] adv. 进一步;更远地 adj. 更远的;远的( far的比较级) 
fascinate	[ˈfæsəˌnet, ˈfæsɪneɪt] vt. 蛊惑;使着迷 vi. 入迷 
fashion	[ˈfæʃn, ˈfæʃən] n. 时尚，时装;时装领域，时尚界 vt. 制作，塑造;使适应 
fashionable	[ˈfæʃənəbəl, ˈfæʃnəbl] adj. 流行的;时髦的，符合时尚的 n. 时髦的人 
fast	[fæst, fɑ:st] adj. 快的 adv. （比准确的时间或宣布的时间）快 vi. 禁食，（尤指）斋戒 n. 禁食期，斋戒期 
fasten	[ˈfɑ:sn, ˈfæsn] vt. 系牢，钉牢;使坚固或稳固 vi. 附着，扣紧;紧握，紧抱 
fat	[fæt] adj. 胖的 n. 脂肪 vt. 养肥 vi. 长肥 
fatal	[ˈfeɪtl, ˈfetl] adj. 致命的，攸关的 
fate	[fet, feɪt] n. 命运，宿命;灾难，死亡 v. 注定 
father	[ˈfɑðɚ, ˈfɑ:ðə(r)] n. 父亲;天父 vt. 成为父亲;创立（新思想） 
father-in-law	[ˈfɑðərɪnˌlɔ, 'fɑ:ðə(r) ɪn lɔ:] n. 岳父 
fault	[fɔ:lt, fɔlt] n. 缺点，缺陷 vt. 挑剔，找…的缺点 vi. 找错误，挑剔 
faulty	[ˈfɔ:lti, ˈfɔlti] adj. 错误的 
favour	[ˈfeɪvə(r), ˈfevɚ] n. 恩惠;赞同 vt. 有利于;赞同 
favourable	[ˈfeɪvərəbl] adj. 有利的 
favourite	[ˈfeɪvərɪt, 'fevərɪt] adj. 特别受喜爱的 n. 特别喜爱的人（或物） 
fax	[fæks] n. 传真 vt. 传真;传真传输 
fear	[fɪə(r), fɪr] n. 害怕 vt. 害怕 vi. 害怕 
feast	[fi:st, fist] n. 宴会 vi. 大吃大喝，享用美食 vt. 款待（某人），宴请（某人） 
feather	[ˈfeðə(r), ˈfɛðɚ] n. 羽毛，翎毛;状态，心情 v. 给装上羽毛，用羽毛装饰;使（桨）与水面平行 
feature	[ˈfi:tʃə(r), ˈfitʃɚ] n. 特征，特点 vt. 使有特色 vi. 起主要作用 
February	[ˈfebrueri, ˈfebruəri] n. 二月 
federal	[ˈfɛdərəl, ˈfɛdrəl, ˈfedərəl] adj. 联邦（制）的;同盟的 n. 联邦主义者;同盟盟友 
fee	[fi:, fi] n. （加入组织或做某事付的）费;专业服务费，业务报酬 vt. 付给报酬，给小费;〈英〉雇用，聘请 
feed	[fid, fi:d] vt. 喂养 vi. 吃，以…为食 n. 饲料（尤指粗饲料），施肥 
feedback	[ˈfidˌbæk, ˈfi:dbæk] n. 反馈 
feel	[fil, fi:l] vt. 感觉 vt.&vi. 感觉，觉得 n. 感觉 vi. 觉得 
feeling	[ˈfi:lɪŋ, ˈfilɪŋ] n. 感情 adj. 富有感情的，有感觉的 v. 感觉 
fell	[fel, fɛl] vt. 砍倒，打倒 n. 兽皮 adj. 残忍的 v. 摔倒 
fellow	[ˈfeləʊ, ˈfeloʊ] n. 同伴 adj. 同伴的 vt. 使…与另一个对等 
female	[ˈfi:meɪl,  ˈfiˌmel] adj. 女性的;雌性的 n. 女人;雌性动物 
fence	[fɛns, fens] n. 围墙 vt. 用篱笆围住 vi. 练习击剑 
ferry	[ˈfɛri, ˈferi] n. 渡船 vt. 航海 vi. 摆渡 
fertilizer	[ˈfɜ:rtəlaɪzə(r), ˈfɜ:təlaɪzə(r)] n. 肥料，化肥 
festival	[ˈfestɪvl,  ˈfɛstəvəl] n. 节日;节期 adj. 节日的，喜庆的 
fetch	[fetʃ, fɛtʃ] vt. 接来（某人） vi. 取来 n. 拿取，拿来 
fever	[ˈfi:və(r), ˈfivɚ] n. 热病 vt. 引起发热 vi. 狂热 
few	[fju, fju:] adj. 很少 pron. 很少 n. 很少数 
fiction	[ˈfɪkʃn, ˈfɪkʃən] n. 小说，虚构的文学作品 
field	[fild, fi:ld] n. 田 vi. [棒球、板球等]担任外场员，担任守队队员 adj. 实地的 vt. 保护 
fierce	[fɪəs, fɪrs] adj. 猛烈的 
fifteen	[ˌfɪfˈti:n, fɪfˈtin] n. 十五 
fifth	[fɪfθ] num. 第五 n. 五分之一;第五音，五度音程 
fifty	[ˈfɪfti] n. 五十岁 num. 五十 adj. 五十的 
fight	[faɪt] vt.&vi. 战斗;斗争 n. 战斗;打架 
figure	[ˈfɪgjər, ˈfɪgə(r)] n. 人物 vi. 计算 vt. 计算在内 
file	[faɪl] vt. 提出（离婚诉讼或其他讼案） vi. 发送（报道给报社） n. 档案 
fill	[fɪl] vt.&vi. （使）充满，（使）装满 vt. 满足 n. 填满…的量 
film	[fɪlm] n. 电影 vt.&vi. （把…）拍摄（成）电影[电视等] vt. （给…）覆上一薄层 
final	[ˈfaɪnl, ˈfaɪnəl] adj. 最后的，最终的;决定性的 n. 决赛;结局 
finally	[ˈfaɪnəli] adv. 总算 
finance	[ˈfaɪnæns, fəˈnæns, faɪ-, ˈfaɪˌnæns] n. 金融;财政 vt. 为…供给资金， 从事金融活动;赊货给… 
financial	[faɪˈnænʃ(ə)l, faɪˈnænʃl] adj. 金融的 
find	[faɪnd] v. 找到;发现 n. 发现物;被发现的人 
fine	[faɪn] adj. 好的，上等的 n. 罚款 vt. 罚款 adv. 很好地 
finger	[ˈfɪŋɡɚ, ˈfɪŋgə(r)] n. 手指 vt. 伸出 vi. 用手指触摸 
finish	[ˈfɪnɪʃ] vt.&vi. 完成;结束 n. 结束;结尾 
finite	[ˈfaɪnaɪt, ˈfaɪˌnaɪt] adj. 有限的;[语]限定的 n. 有限性;有限的事物 
fire	[ˈfaɪə(r), faɪr] n. 火灾 vt.&vi. 开火，射击 vt. <口>解雇 
fireman	[ˈfaɪərmən, ˈfaɪəmən] n. 消防队员 
firm	[fɜ:m, fɜ:rm] adj. 坚固的，坚牢的 vt.&vi. 使坚固 n. 公司 adv. 坚定地，稳固地 vt. 使坚定，使牢固 vi. 变坚实，变稳固 
first	[fɜ:st, fɜ:rst] n. 第一，最初 adv. 首次 adj. 第一流的 num. 第一 
fish	[fɪʃ] n. 鱼，鱼肉，鱼类 vt.&vi. 钓鱼 vt. 钓鱼，捕鱼 vi. 捕鱼，钓鱼 
fishery	[ˈfɪʃəri] n. 渔场 
fist	[fɪst] n. 拳，拳头;〈口〉笔迹 vt. 紧握;握成拳 
fit	[fɪt] vt.&vi. 安装 adj. 合适的 n. 适合 
five	[faɪv] num. 第五 n. 五，五个 adj. 五的 
fix	[fɪks] vt. 固定 vi. 固着 n. 困境 
flag	[flæɡ, flæg] n. 旗 vt. 标示 vi. 疲乏，变弱，热情衰减 
flame	[flem, fleɪm] n. 火焰 vi. 燃烧，发出火焰 vt. 烧 
flash	[flæʃ] vt.&vi. 使闪光，使闪烁 n. 闪光 adj. 闪光的，闪耀的，一闪而过的 
flat	[flæt] adj. 平的 adv. （尤指贴着另一表面）平直地 n. 平面 vt. 使变平 vi. 逐渐变平 
flavour	[ˈflevɚ, ˈfleɪvə(r)] n. 风味，情趣;味，滋味 vt. 给…添风味[添情趣，添风趣];给…增加香气 
flee	[fli, fli:] vi. 逃走，逃掉;消失 vt. 逃离，逃避 
fleet	[fli:t, flit] n. 舰队 adj. 快速的，敏捷的 vi. 疾驰 vt. 使（时间）飞逝 
flesh	[fleʃ, flɛʃ] n. 肉;肉体 v. 用肉喂养;长胖 
flexible	[ˈfleksəbl, ˈflɛksəbəl] adj. 灵活的 
flight	[flaɪt] n. 航班 vi. 成群地迁徙或飞行 vt. 射击 
float	[fləʊt, floʊt] vt.&vi. （使）浮动 vi. 游荡 vt. 提出，提请考虑 n. 彩车 
flock	[flɒk, flɑ:k] n. 兽群，鸟群 vi. 群集，成群结队而行 vt. 用棉束填 
flood	[flʌd] n. 洪水 vi. 涌出 vt. 淹没 
floor	[flɔr, flor, flɔ:(r)] n. 楼层;地面，地板 vt. 铺地板;击败，打倒 
flour	[ˈflaʊə(r), flaʊr] n. 面粉 vt. 撒上粉 
flourish	[ˈflɜ:rɪʃ, ˈflʌrɪʃ] vi. 挥舞 vt. 挥动，挥舞 n. 挥舞，挥动 
flow	[floʊ, fləʊ] vi. 流 n. 流动 vt. 使泛滥 
flower	[ˈflaʊə(r), ˈflaʊɚ] n. 花 vi. 开花 vt. 使开花 
flu	[flu, flu:] n. 流行性感冒，流感 
fluid	[ˈflu:ɪd, ˈfluɪd] n. 液体，流体 adj. 流体的，流动的，流体的，液体的;易变的，不固定的 
flush	[flʌʃ] vi. 冲刷 adj. 满面红光的 n. 奔流，涌出 vt. 发红或发亮 
fly	[flai, flaɪ] vi. 飞 vt.&vi. 乘（…的）飞机 vt. 驾驶 n. 苍蝇 
focus	[ˈfoʊkəs, ˈfəʊkəs] vt.&vi. （使）集中，（使）聚集 vt. 调整（眼睛或者镜头的）焦距 n. 焦点 
fog	[fɔ:g, fɒg] n. 雾 vt. 以雾包围 vi. 为雾笼罩 
fold	[foʊld, fəʊld] vt. 折叠 vi. 折叠起来 n. 折痕 
folk	[foʊk, fəʊk] n. 民族;人们 adj. 民间的;普通平民的 
follow	[ˈfɒləʊ, ˈfɑ:loʊ] vt.&vi. 跟随，接着 vt. 继承 vi. 理解 n. 追随，跟随 
fond	[fɒnd, fɑ:nd] adj. 喜欢的 
food	[fud, fu:d] n. 粮食 
fool	[ful, fu:l] n. 愚人，傻瓜 vt. 愚弄，欺骗 vi. 欺骗 adj. 愚蠢的 
foolish	[ˈfulɪʃ, ˈfu:lɪʃ] adj. 愚蠢的 
foot	[fʊt] n. 脚 vt. 走，踏 vt.&vi. 结算，总计，共计 
football	[ˈfʊtbɔ:l, ˈfʊtˌbɔl] n. 足球运动 
for	[fɔr,fə, fə(r)] prep. 为，为了;倾向于 conj. 因为，由于 
forbid	[fəˈbɪd, fərˈbɪd] vt. 禁止 
force	[fɔ:s, fɔ:rs] n. 力;武力 vt. 强迫;强行 
forecast	[ˈfɔ:kɑ:st, ˈfɔ:rkæst] vt. 预报，预测 vi. 预报，预测 n. 预报 
forefather	[ˈfɔ:fɑ:ðə(r), ˈfɔ:rfɑ:ðə(r)] n. 祖先，祖宗 
foreign	[ˈfɒrən, ˈfɔ:rən] adj. 外国的，外交的 
foreigner	[ˈfɔ:rənə(r), ˈfɒrənə(r)] n. 外国人 
forest	[ˈfɒrɪst, ˈfɔ:rɪst] n. 森林;丛林 vt. 在…造林，使长满树林，使成为森林 
forever	[fərˈevə(r), fɔrˈɛvɚ, fə-] adv. 永远;不断地，无休止地 n. 永恒;极长的一段时间 
forget	[fəˈget, fərˈget] vt. 忘掉;忘记，忘却 vi. 忘记;忽视 
forgive	[fəˈgɪv, fərˈgɪv] vt.&vi. 原谅; 饶恕 vt. 免除 
fork	[fɔ:k, fɔ:rk] n. 餐叉 vi. 分叉 vt. 走岔路 
form	[fɔ:m, fɔ:rm] n. 表格 vt. 形成 vi. 形成，产生 
formal	[ˈfɔ:ml, ˈfɔ:rml] adj. （学校教育或培训）正规的;方式上的 n. <美>须穿礼服的社交集会;<口>夜礼服 
format	[ˈfɔ:mæt, ˈfɔ:rmæt] n. （出版物的）版式 vt. 使格式化 vi. 设计一个版式 
former	[ˈfɔ:mə(r), ˈfɔ:rmə(r)] adj. 以前的，从前的;在前的 n. 模型，样板;构成者，创造者 
forth	[fɔ:θ, fɔ:rθ] adv. 向前，向前方;露着的，往外的 prep. 出自，从…离开 
fortnight	[ˈfɔ:rtnaɪt, ˈfɔ:tnaɪt] n. 两星期，十四天 
fortunate	[ˈfɔ:tʃənət, ˈfɔ:rtʃənət] adj. 侥幸的，幸运的;带来幸运的，吉利的 n. 有好运的人 
fortune	[ˈfɔ:rtʃu:n, ˈfɔ:tʃu:n] n. 幸运 vt. 给予财富 vi. 偶然发生 
forty	[ˈfɔ:ti, ˈfɔ:rti] n. 四十;四十几 adj. 四十的 
forum	[ˈfɔ:rəm, ˈfɔrəm] n. 论坛，讨论会，专题讨论节目 
forward	[ˈfɔ:wəd, ˈfɔ:rwərd] adv. 向前 adj. 向前方的 vt. 促进，助长 n. 前锋 
found	[faʊnd] vt. 创办，成立，建立 v. 找到;发现（ find的过去式） 
foundation	[faʊnˈdeɪʃn, faʊnˈdeʃən] n. 基础 
four	[fɔr, fɔ:(r)] num. 四;四个 n. 四的;四个一组之物 
fourteen	[ˌfɔ:ˈti:n, ˌfɔ:rˈti:n] num. 十四;十四个 n. 十四的记号;十四岁 
fourth	[fɔ:θ, fɔ:rθ] n. 第四 adj. 第四的 num. 第四 
fox	[fɑ:ks, fɒks] n. 狐狸 vt. 欺骗 vi. 耍花招 
fragile	[ˈfrædʒaɪl, ˈfrædʒl] adj. 易碎的，脆的 
fragrant	[ˈfreɪgrənt, ˈfreɡrənt] adj. 芳香的，香的 
frame	[frem, freɪm] n. 框架 vt. 陷害 adj. 有木架的，有构架的 
framework	[ˈfreɪmwɜ:k, ˈfreɪmwɜ:rk] n. 框架 
France	[frɑ:ns, fræns] n. [地名]法国，法兰西 
frank	[fræŋk] adj. 坦白的，直率的 n. 弗兰克 vt. 免费寄（邮件） 
free	[fri, fri:] adj. 免费的 adv. 免费地 vt. 释放 
freedom	[ˈfridəm, ˈfri:dəm] n. 自由，自主 
freeze	[friz, fri:z] vt. 使结冰，使冻僵 vi. 凝固，结冰 n. 冻结 
freight	[freɪt, fret] n. 运费;货运，货物 vt. 运输;装货于 
French	[frentʃ, frɛntʃ] adj. 法语的;法国的，法国人的 n. 法语;法国人 
Frenchman	[ˈfrɛntʃmən, 'frentʃmən] n. 法国人 
frequency	[ˈfri:kwənsi, ˈfrikwənsi] n. 频繁性 
fresh	[frɛʃ, freʃ] adj. 新鲜的 adv. 刚 n. 开始 
Friday	[ˈfraɪdeɪ, ˈfraɪˌdeɪ] n. 星期五，周五，礼拜五 
friend	[frend, frɛnd] n. 朋友，友人;资助者 v. <诗>与…为友 
friendly	[ˈfrendli, ˈfrɛndli] adj. 友好的，亲密的;有帮助的 n. 友谊赛 
friendship	[ˈfrɛndˌʃɪp, ˈfrendʃɪp] n. 友情，友谊 
fright	[fraɪt] n. 惊吓;恐怖 v. 使惊恐 
frighten	[ˈfraɪtn] vt. 使惊恐，使恐慌;吓走，赶走 vi. 害怕，惊恐 
frog	[frɔ:g, frɒg] n. 青蛙 
from	[frəm, frʌm] prep. （表示时间）从… 
front	[frʌnt] n. 前面 adj. 前面的 v. 面向 
frontier	[ˈfrʌntɪə(r), frʌnˈtɪr] n. 边疆，边境;边界，边缘 adj. 边疆的，边界的;新垦地的，边地的 
frost	[frɒst, frɔ:st] vt.&vi. 使结冰霜 vi. 结霜 n. 霜冻，结霜 
frown	[fraʊn] vt.&vi. 皱眉;不同意 n. 皱眉，蹙额 
frozen	[ˈfrəʊzn, ˈfroʊzn] adj. 冷冻的;冰封的 v. 冻结;冷藏 
fruit	[fru:t, frut] n. 水果 vi. 树或花草结果 vt. 使…结果实 
fry	[fraɪ] n. 鱼苗，鱼秧 vi. 油炸 vt. 油炸 
fuel	[ˈfjuəl, ˈfju:əl] n. 燃料 vt. 给…加燃料，给…加油 vi. 补充燃料 
fulfill	[fʊlˈfɪl, fʊl'fɪl] vt. 履行（诺言等） 
full	[fʊl] adj. 满的，装满的 adv. 极其，十分 n. 全部 v. 把衣服缝得宽大 
fun	[fʌn] n. 乐趣 adj. 开心的 vi. 嬉闹 
function	[ˈfʌŋkʃən, ˈfʌŋkʃn] n. 功能，作用;应变量，函数 vi. 有或起作用;行使职责 
fund	[fʌnd] n. 基金;储备 vt. 积存;为…提供资金 
